id;year;price;mileage;drivetrain;engine;transmission;fuel_type;exterior_color;interior_color;vin;location;description;published_date;ad_number;views;alloy_wheels;sunroof;tinted_glass;led_headlights;foldable_roof;tow_hitch;adjustable_steering_wheel;auto_dimming_rearview;heated_front_seats;leather_seats;blind_spot_monitor;adaptive_cruise_control;navigation_system;backup_camera;apple_carplay;android_auto;premium_sound_system;is_first_own;is_acced_free
1;15834;7251.49;12745.57;ick;nor by;less emerge;bah oh pish;fervently poorly;bravely ha yum;deserted intend reassuringly;by wholly desk;huzzah;2025-04-18T19:41:01;4178;14291;true;true;true;true;false;true;false;true;false;false;false;false;false;true;false;false;false;true;false
2;25728;5868.54;23427.04;while;cautious sadly moment;psst outlaw misguided;farm;incidentally sleet rebuke;indeed requirement;courageously;boohoo middle;hidden;2025-04-18T14:02:02;13159;9913;true;true;false;true;false;true;true;true;true;true;true;false;false;true;false;false;false;false;true
3;23780;4682.52;23673.76;who shoulder;complete;queasily;hearten;crushing;which kindly feline;lasting below;boo crackle;meadow unfortunate upside-down;2025-04-18T02:25:14;22256;19152;false;false;false;false;false;true;false;true;false;false;true;false;true;true;false;true;false;false;false
4;32037;19920.57;21550.47;unique experience;porter;axe experienced;because;circa questionable;or;times remarkable;jive despite overdue;yet mountain circa;2025-04-18T02:52:06;31061;569;true;true;true;true;true;false;true;true;false;true;false;true;false;false;true;false;false;true;true
5;11502;21137.6;1829.03;silently gee;below;daily;masticate agreeable;moist because;phooey outrun yuck;investigate;consequently pharmacopoeia till;rekindle flame;2025-04-18T19:34:09;3354;28808;true;true;false;false;false;true;true;true;true;false;true;false;true;true;true;true;false;false;true
6;12938;9204.57;18316.44;inferior given as;hurtful advertisement;next psst ah;soup even;phew;apud;oof wallop;baptise;flimsy over unhealthy;2025-04-17T23:05:44;24579;15646;true;false;true;false;false;true;false;true;false;false;true;false;false;false;true;true;true;true;true
7;21509;11025.46;862.04;doodle;greedily;growing reclassify offset;jam-packed;faint expansion;playfully;immediately;treasure;metal lace;2025-04-18T03:27:28;15188;26835;true;false;true;false;false;false;false;false;true;true;false;true;false;true;true;false;true;true;true
8;31672;15313.08;29285.66;clear euphonium reel;atop inconsequential farmer;lid;nice;vacantly ponder;gah caption so;firm;scoff;intently up bashfully;2025-04-18T02:53:49;32332;15617;false;false;false;true;true;true;false;true;true;true;true;false;true;false;true;true;false;true;true
9;11208;16737.22;32698.19;but;chubby yawn dapper;overconfidently boohoo;amongst gadzooks obediently;implode or lace;yearningly;ouch rewarding wearily;knavishly cuckoo;seriously chromakey cap;2025-04-18T18:34:14;9965;16053;true;false;false;true;true;true;false;true;false;true;false;false;false;true;false;false;true;true;false
10;30032;4782.47;20554.39;aside trench;gadzooks incidentally;how weakly briefly;salty;unnaturally uh-huh;pressure gum;afore yawningly;cross daily notwithstanding;till;2025-04-18T03:34:09;24576;5738;false;true;true;false;false;false;false;false;false;true;false;false;false;false;false;false;true;false;true
